timestamp,target,x,y
1751063931.5737317,eyes_left,335,155
1751063931.63549,eyes_left,335,155
1751063931.6584938,eyes_left,335,155
1751063931.7014518,eyes_left,335,154
1751063931.7185209,eyes_left,335,154
1751063931.762563,eyes_left,336,155
1751063931.784837,eyes_left,336,155
1751063931.8488855,eyes_left,337,155
1751063931.871916,eyes_left,337,155
1751063931.8882706,eyes_left,337,155
1751063931.9057038,eyes_left,338,153
1751063931.9221632,eyes_left,338,153
1751063931.9774795,eyes_left,338,153
1751063932.0618742,eyes_left,340,155
1751063932.0887237,eyes_left,340,155
1751063932.1138997,eyes_left,340,155
1751063932.143465,eyes_left,343,154
1751063932.174621,eyes_left,343,154
1751063932.1948428,eyes_left,344,151
1751063932.2149436,eyes_left,343,151
1751063932.2700362,eyes_left,343,151
1751063932.2988734,eyes_left,344,152
1751063932.325883,eyes_left,345,154
1751063932.3485663,eyes_left,345,153
1751063932.3862839,eyes_left,348,156
1751063932.4053438,eyes_left,348,155
1751063932.4709072,eyes_left,347,155
1751063932.489259,eyes_left,348,154
1751063932.532374,eyes_left,348,155
1751063932.551902,eyes_left,348,155
1751063932.592984,eyes_left,348,157
1751063932.616929,eyes_left,348,157
1751063932.6395633,eyes_left,347,157
1751063932.6922054,eyes_left,346,159
1751063932.7253096,eyes_left,347,159
1751063932.7525358,eyes_left,346,158
1751063932.7771013,eyes_left,346,158
1751063932.805288,eyes_left,345,157
1751063932.8292553,eyes_left,345,157
1751063932.885855,eyes_left,344,157
1751063932.906782,eyes_left,345,158
1751063932.9476132,eyes_left,343,159
1751063932.9715705,eyes_left,343,159
1751063933.0208507,eyes_left,342,158
1751063933.047519,eyes_left,342,158
1751063933.098679,eyes_left,341,156
1751063933.1218812,eyes_left,342,156
1751063933.165284,eyes_left,341,156
1751063933.1989205,eyes_left,341,156
1751063933.229952,eyes_left,339,155
1751063933.2605255,eyes_left,339,155
1751063933.3065448,eyes_left,339,153
1751063933.325568,eyes_left,339,153
1751063933.3609924,eyes_left,339,153
1751063933.3815901,eyes_left,340,153
1751063933.4392703,eyes_left,340,154
1751063933.4684691,eyes_left,340,154
1751063933.4934483,eyes_left,340,154
1751063933.514311,eyes_left,340,154
1751063933.5580215,eyes_left,340,153
1751063933.5794723,eyes_left,340,153
1751063933.6367004,eyes_left,341,153
1751063933.6542122,eyes_left,341,153
1751063933.7016885,eyes_left,341,153
1751063933.7210827,eyes_left,341,153
1751063933.7656417,eyes_left,342,153
1751063933.7847245,eyes_left,341,153
1751063933.835706,eyes_left,342,153
1751063933.8608246,eyes_left,342,153
1751063933.9001355,eyes_left,341,153
1751063933.9221578,eyes_left,341,153
1751063933.9537137,eyes_left,341,154
1751063933.9767702,eyes_left,341,154
1751063934.0459588,eyes_left,340,153
1751063934.0736463,eyes_left,340,153
1751063934.104873,eyes_left,339,153
1751063934.1223986,eyes_left,339,153
1751063934.1607153,eyes_left,336,153
1751063934.1786149,eyes_left,336,153
1751063934.2321482,eyes_left,335,153
1751063934.2592208,eyes_left,335,153
1751063934.299265,eyes_left,334,153
1751063934.3371534,eyes_left,334,153
1751063934.3662448,eyes_left,334,153
1751063934.3939,eyes_left,334,153
1751063934.4382799,eyes_left,334,153
1751063934.4590986,eyes_left,334,153
1751063934.5006878,eyes_left,335,152
1751063934.5219262,eyes_left,335,152
1751063934.570599,eyes_left,335,153
1751063934.6019921,eyes_left,335,153
1751063934.6334102,eyes_left,336,153
1751063934.6669087,eyes_left,336,153
1751063934.6999576,eyes_left,336,152
1751063934.7302196,eyes_left,336,152
1751063934.7540796,eyes_left,336,152
1751063934.772013,eyes_left,337,151
1751063934.8385787,eyes_left,338,151
1751063934.867178,eyes_left,338,151
1751063934.9087422,eyes_left,339,151
1751063934.936246,eyes_left,338,151
1751063934.9627228,eyes_left,339,150
1751063934.9834707,eyes_left,339,150
1751063935.0299132,eyes_left,339,150
1751063935.0535421,eyes_left,339,150
1751063935.102003,eyes_left,339,151
1751063935.1267493,eyes_left,339,151
1751063935.1477084,eyes_left,339,151
1751063935.1723502,eyes_left,339,151
1751063935.2447429,eyes_left,339,151
